"","geneID_nl_vs_h","normhits_score_nl_vs_h","decision_nl_vs_h"
"540","X1.2.SBSRNA4",0,"Rejected"
"541","X541",0,"Rejected"
"542","X542",0,"Rejected"
"543","LOC442421",0,"Rejected"
"544","PI15",0,"Rejected"
"545","SERTM1",0,"Rejected"
"546","CASP6",0,"Rejected"
"547","NUP210L",0,"Rejected"
"548","OBSCN",0,"Rejected"
"549","ABCB1",0,"Rejected"
"550","ZNRF2",0,"Rejected"
"551","ZC3H13",0,"Rejected"
"552","KANK1",0,"Rejected"
"553","LINC00347",0,"Rejected"
"554","ENTPD4",0,"Rejected"
"555","ALOX12P2",0,"Rejected"
"556","AMD1",0,"Rejected"
"557","CAP1",0,"Rejected"
"558","X558",0,"Rejected"
"559","TRIM59",0,"Rejected"
"560","PTPN2",0,"Rejected"
"561","AK4",0,"Rejected"
"562","DGAT1",0,"Rejected"
"563","HSBP1",0,"Rejected"
"564","XLOC_008745",0,"Rejected"
"565","XLOC_005110",0,"Rejected"
"566","XLOC_002612",0,"Rejected"
"567","STXBP4",0,"Rejected"
"568","TCEB2",0,"Rejected"
"569","GDI2",0,"Rejected"
"570","FBXO18",0,"Rejected"
"571","XLOC_002217",0,"Rejected"
"572","RABEP2",0,"Rejected"
"573","LARP1",0,"Rejected"
"574","ACSM1",0,"Rejected"
"575","ZNF713",0,"Rejected"
"576","DLEU7",0,"Rejected"
"577","C12orf11",0,"Rejected"
"578","LOC390940",0,"Rejected"
"579","C6orf132",0,"Rejected"
"580","LYSMD4",0,"Rejected"
"581","LOC100507498",0,"Rejected"
"582","X582",0,"Rejected"
"583","X583",0,"Rejected"
"584","X584",0,"Rejected"
"585","WDR74",0,"Rejected"
"586","XLOC_004023",0,"Rejected"
"587","SASH1",0,"Rejected"
"588","LOC388630",0,"Rejected"
"589","X589",0,"Rejected"
"590","GP9",0,"Rejected"
"591","WDR82",0,"Rejected"
"592","XLOC_007835",0,"Rejected"
"593","NAB1",0,"Rejected"
"594","MGC23284",0,"Rejected"
"595","X595",0,"Rejected"
"596","PTGS1",0,"Rejected"
"597","WFDC1",0,"Rejected"
"598","SLC10A1",0,"Rejected"
"599","TRIM36",0,"Rejected"
"600","WHSC1",0,"Rejected"
"601","XLOC_l2_000267",0,"Rejected"
"602","PSMD3",0,"Rejected"
"603","XLOC_002796",0,"Rejected"
"604","PPP2R2A",0,"Rejected"
"605","XLOC_001992",0,"Rejected"
"606","XLOC_l2_009180",0,"Rejected"
"607","SOS2",0,"Rejected"
"608","XLOC_011545",0,"Rejected"
"609","NCOA4",0,"Rejected"
"610","X610",0,"Rejected"
"611","PIK3CG",0,"Rejected"
"612","XLOC_007438",0,"Rejected"
"613","XLOC_005433",0,"Rejected"
"614","ZNF331",0,"Rejected"
"615","XLOC_004426",0,"Rejected"
"616","KLRD1",0,"Rejected"
"617","EPB41",0,"Rejected"
"618","XLOC_011515",0,"Rejected"
"619","TNNT1",0,"Rejected"
"620","TMEM221",0,"Rejected"
"621","LOC339539",0,"Rejected"
"622","SUMF2",0,"Rejected"
"623","ERC1",0,"Rejected"
"624","FUT10",0,"Rejected"
"625","EIF4EBP2",0,"Rejected"
"626","XLOC_009100",0,"Rejected"
"627","C9orf47",0,"Rejected"
"628","BEST3",0,"Rejected"
"629","ABCD2",0,"Rejected"
"630","PKP4",0,"Rejected"
"631","X631",0,"Rejected"
"632","XLOC_003679",0,"Rejected"
"633","X633",0,"Rejected"
"634","X634",0,"Rejected"
"635","SBDS",0,"Rejected"
"636","XLOC_000035",0,"Rejected"
"637","X637",0,"Rejected"
"638","C8orf59",0,"Rejected"
"639","XLOC_002731",0,"Rejected"
"640","XLOC_012317",0,"Rejected"
"641","CTSL1P2",0,"Rejected"
"642","HIST1H2BL",0,"Rejected"
"643","X643",0,"Rejected"
"644","LOC157273",0,"Rejected"
"645","TRIM36.1",0,"Rejected"
"646","THRAP3",0,"Rejected"
"647","FNDC3A",0,"Rejected"
"648","CD34",0,"Rejected"
"649","X649",0,"Rejected"
"650","X650",0,"Rejected"
"651","X651",0,"Rejected"
"652","X652",0,"Rejected"
"653","X653",0,"Rejected"
"654","X654",0,"Rejected"
"655","X655",0,"Rejected"
"656","X656",0,"Rejected"
"657","X657",0,"Rejected"
"658","XLOC_007205",0,"Rejected"
"659","TNFSF10",0,"Rejected"
"660","CSN2",0,"Rejected"
"661","BRP44L.1",0,"Rejected"
"662","OR7C1",0,"Rejected"
"663","PIAS3",0,"Rejected"
"664","XLOC_l2_007543",0,"Rejected"
"665","C6orf10",0,"Rejected"
"666","LOXHD1",0,"Rejected"
"667","X667",0,"Rejected"
"668","GK3P",0,"Rejected"
"669","XLOC_003016",0,"Rejected"
"670","AP2A2",0,"Rejected"
"671","PLA2G4E",0,"Rejected"
"672","PFAS",0,"Rejected"
"673","PDZRN4",0,"Rejected"
"674","BTBD1",0,"Rejected"
"675","X675",0,"Rejected"
"676","SNORD115.4",0,"Rejected"
"677","CA8",0,"Rejected"
"678","XLOC_000893",0,"Rejected"
"679","XLOC_l2_015716",0,"Rejected"
"680","FLJ40606",0,"Rejected"
"681","XLOC_002730",0,"Rejected"
"682","X682",0,"Rejected"
"683","X683",0,"Rejected"
"684","XLOC_008111",0,"Rejected"
"685","LOC283588",0,"Rejected"
"686","XLOC_l2_008841",0,"Rejected"
"687","NXT2.1",0,"Rejected"
"688","PIGQ",0,"Rejected"
"689","GUSB.1",0,"Rejected"
"690","LOC100652741",0,"Rejected"
"691","X691",0,"Rejected"
"692","PKP1",0,"Rejected"
"693","XLOC_008625",0,"Rejected"
"694","PRR15L",0,"Rejected"
"695","DCAF12L2",0,"Rejected"
"696","PEX14",0,"Rejected"
"697","RPS21",0,"Rejected"
"698","OTUD6B",0,"Rejected"
"699","XLOC_006905",0,"Rejected"
"700","X700",0,"Rejected"
"701","PEBP4",0,"Rejected"
"702","LOC439950",0,"Rejected"
"703","XLOC_012667",0,"Rejected"
"704","IL15RA.1",0,"Rejected"
"705","RPL23AP32",0,"Rejected"
"706","LOC440896",0,"Rejected"
"707","DCTN1",0,"Rejected"
"708","XLOC_006166",0,"Rejected"
"709","MSL3",0,"Rejected"
"710","ARAP1",0,"Rejected"
"711","X711",0,"Rejected"
"712","X712",0,"Rejected"
"713","X713",0,"Rejected"
"714","IFI27",0,"Rejected"
"715","CHD9",0,"Rejected"
"716","C12orf56",0,"Rejected"
"717","XLOC_004135",0,"Rejected"
"718","RANBP1",0,"Rejected"
"719","KIAA1211",0,"Rejected"
"720","ACACA",0,"Rejected"
"721","X721",0,"Rejected"
"722","KCTD5",0,"Rejected"
"723","OCLN",0,"Rejected"
"724","X724",0,"Rejected"
"725","GIMAP5",0,"Rejected"
"726","SYNPR",0,"Rejected"
"727","LOC100129119",0,"Rejected"
"728","X728",0,"Rejected"
"729","CHD6",0,"Rejected"
"730","MOG",0,"Rejected"
"731","FLJ45482",0,"Rejected"
"732","OR2T34",0,"Rejected"
"733","FAM3C",0,"Rejected"
"734","NAPG",0,"Rejected"
"735","GLB1L3",0,"Rejected"
"736","XLOC_l2_001421",0,"Rejected"
"737","ENPEP",0,"Rejected"
"738","YDJC",0,"Rejected"
"739","X739",0,"Rejected"
"740","XLOC_005919",0,"Rejected"
"741","FLJ23152",0,"Rejected"
"742","LOC100128977",0,"Rejected"
"743","XLOC_l2_008450",0,"Rejected"
"744","BAG1",0,"Rejected"
"745","XLOC_003911",0,"Rejected"
"746","ASAP3",0,"Rejected"
"747","FREM1",0,"Rejected"
"748","ALOX5",0,"Rejected"
"749","LOC729454",0,"Rejected"
"750","XLOC_006689",0,"Rejected"
"751","CNGA2",0,"Rejected"
"752","KU.MEL.3",0,"Rejected"
"753","C16orf5",0,"Rejected"
"754","FLJ31485",0,"Rejected"
"755","XLOC_008116",0,"Rejected"
"756","CHFR",0,"Rejected"
"757","XLOC_011006",0,"Rejected"
"758","CSNK2B",0,"Rejected"
"759","GPM6A",0,"Rejected"
"760","ZIC3",0,"Rejected"
